czas,krok,sesja_id,pojazd,zdarzenie,opis
00:45,3,EV-003,Volvo EX30 69 kWh,przyjazd,Pojazd przyjechał na stację.
00:45,3,EV-003,Volvo EX30 69 kWh,start_ladowania,Rozpoczęto sesję na ładowarce nr 1.
00:45,3,EV-003,Volvo EX30 69 kWh,zmiana_mocy,"Moc chwilowa: 115.5 kW, SOC: 0.809."
01:00,4,EV-003,Volvo EX30 69 kWh,koniec_ladowania,Sesja zakończona. Dostarczono 27.15 kWh.
01:00,4,EV-037,BMW i4 eDrive40,przyjazd,Pojazd przyjechał na stację.
01:00,4,EV-037,BMW i4 eDrive40,start_ladowania,Rozpoczęto sesję na ładowarce nr 1.
01:00,4,EV-037,BMW i4 eDrive40,zmiana_mocy,"Moc chwilowa: 150.0 kW, SOC: 0.638."
01:15,5,EV-037,BMW i4 eDrive40,zmiana_mocy,"Moc chwilowa: 58.7 kW, SOC: 0.807."
01:30,6,EV-037,BMW i4 eDrive40,koniec_ladowania,Sesja zakończona. Dostarczono 49.04 kWh.
06:00,24,EV-008,Volvo EX30 69 kWh,przyjazd,Pojazd przyjechał na stację.
06:00,24,EV-008,Volvo EX30 69 kWh,start_ladowania,Rozpoczęto sesję na ładowarce nr 1.
06:00,24,EV-008,Volvo EX30 69 kWh,zmiana_mocy,"Moc chwilowa: 144.9 kW, SOC: 0.756."
06:15,25,EV-008,Volvo EX30 69 kWh,zmiana_mocy,"Moc chwilowa: 7.2 kW, SOC: 0.781."
06:30,26,EV-008,Volvo EX30 69 kWh,koniec_ladowania,Sesja zakończona. Dostarczono 35.74 kWh.
07:00,28,EV-020,Hyundai IONIQ 5 77.4 kWh,przyjazd,Pojazd przyjechał na stację.
07:00,28,EV-020,Hyundai IONIQ 5 77.4 kWh,start_ladowania,Rozpoczęto sesję na ładowarce nr 1.
07:00,28,EV-020,Hyundai IONIQ 5 77.4 kWh,zmiana_mocy,"Moc chwilowa: 127.4 kW, SOC: 0.772."
07:15,29,EV-020,Hyundai IONIQ 5 77.4 kWh,koniec_ladowania,Sesja zakończona. Dostarczono 29.95 kWh.
08:45,35,EV-042,Volvo EX30 69 kWh,przyjazd,Pojazd przyjechał na stację.
08:45,35,EV-042,Volvo EX30 69 kWh,start_ladowania,Rozpoczęto sesję na ładowarce nr 1.
08:45,35,EV-042,Volvo EX30 69 kWh,zmiana_mocy,"Moc chwilowa: 144.9 kW, SOC: 0.699."
09:00,36,EV-042,Volvo EX30 69 kWh,zmiana_mocy,"Moc chwilowa: 26.3 kW, SOC: 0.789."
09:15,37,EV-042,Volvo EX30 69 kWh,koniec_ladowania,Sesja zakończona. Dostarczono 40.24 kWh.
09:15,37,EV-017,Hyundai IONIQ 5 77.4 kWh,przyjazd,Pojazd przyjechał na stację.
09:15,37,EV-035,Hyundai IONIQ 5 77.4 kWh,przyjazd,Pojazd przyjechał na stację.
09:15,37,EV-017,Hyundai IONIQ 5 77.4 kWh,start_ladowania,Rozpoczęto sesję na ładowarce nr 1.
09:15,37,EV-035,Hyundai IONIQ 5 77.4 kWh,start_ladowania,Rozpoczęto sesję na ładowarce nr 2.
09:15,37,EV-017,Hyundai IONIQ 5 77.4 kWh,zmiana_mocy,"Moc chwilowa: 117.6 kW, SOC: 0.810."
09:15,37,EV-035,Hyundai IONIQ 5 77.4 kWh,zmiana_mocy,"Moc chwilowa: 90.2 kW, SOC: 0.774."
09:30,38,EV-017,Hyundai IONIQ 5 77.4 kWh,koniec_ladowania,Sesja zakończona. Dostarczono 27.63 kWh.
09:30,38,EV-035,Hyundai IONIQ 5 77.4 kWh,koniec_ladowania,Sesja zakończona. Dostarczono 21.20 kWh.
09:45,39,EV-010,Hyundai IONIQ 5 77.4 kWh,przyjazd,Pojazd przyjechał na stację.
09:45,39,EV-010,Hyundai IONIQ 5 77.4 kWh,start_ladowania,Rozpoczęto sesję na ładowarce nr 1.
09:45,39,EV-010,Hyundai IONIQ 5 77.4 kWh,zmiana_mocy,"Moc chwilowa: 150.0 kW, SOC: 0.614."
10:00,40,EV-034,Nissan LEAF 40 kWh,przyjazd,Pojazd przyjechał na stację.
10:00,40,EV-034,Nissan LEAF 40 kWh,start_ladowania,Rozpoczęto sesję na ładowarce nr 2.
10:00,40,EV-010,Hyundai IONIQ 5 77.4 kWh,zmiana_mocy,"Moc chwilowa: 50.0 kW, SOC: 0.766."
10:00,40,EV-034,Nissan LEAF 40 kWh,zmiana_mocy,"Moc chwilowa: 50.0 kW, SOC: 0.493."
10:15,41,EV-010,Hyundai IONIQ 5 77.4 kWh,koniec_ladowania,Sesja zakończona. Dostarczono 47.00 kWh.
10:15,41,EV-002,Nissan LEAF 40 kWh,przyjazd,Pojazd przyjechał na stację.
10:15,41,EV-002,Nissan LEAF 40 kWh,start_ladowania,Rozpoczęto sesję na ładowarce nr 1.
10:15,41,EV-034,Nissan LEAF 40 kWh,zmiana_mocy,"Moc chwilowa: 50.0 kW, SOC: 0.786."
10:15,41,EV-002,Nissan LEAF 40 kWh,zmiana_mocy,"Moc chwilowa: 50.0 kW, SOC: 0.717."
10:30,42,EV-034,Nissan LEAF 40 kWh,zmiana_mocy,"Moc chwilowa: 5.4 kW, SOC: 0.818."
10:30,42,EV-002,Nissan LEAF 40 kWh,zmiana_mocy,"Moc chwilowa: 9.0 kW, SOC: 0.770."
10:45,43,EV-034,Nissan LEAF 40 kWh,koniec_ladowania,Sesja zakończona. Dostarczono 24.76 kWh.
10:45,43,EV-002,Nissan LEAF 40 kWh,koniec_ladowania,Sesja zakończona. Dostarczono 13.87 kWh.
10:45,43,EV-041,Nissan LEAF 40 kWh,przyjazd,Pojazd przyjechał na stację.
10:45,43,EV-041,Nissan LEAF 40 kWh,start_ladowania,Rozpoczęto sesję na ładowarce nr 1.
10:45,43,EV-041,Nissan LEAF 40 kWh,zmiana_mocy,"Moc chwilowa: 50.0 kW, SOC: 0.454."
11:00,44,EV-029,BMW i4 eDrive40,przyjazd,Pojazd przyjechał na stację.
11:00,44,EV-029,BMW i4 eDrive40,start_ladowania,Rozpoczęto sesję na ładowarce nr 2.
11:00,44,EV-041,Nissan LEAF 40 kWh,zmiana_mocy,"Moc chwilowa: 50.0 kW, SOC: 0.748."
11:00,44,EV-029,BMW i4 eDrive40,zmiana_mocy,"Moc chwilowa: 150.0 kW, SOC: 0.701."
11:15,45,EV-041,Nissan LEAF 40 kWh,zmiana_mocy,"Moc chwilowa: 8.8 kW, SOC: 0.799."
11:15,45,EV-029,BMW i4 eDrive40,zmiana_mocy,"Moc chwilowa: 32.8 kW, SOC: 0.796."
11:30,46,EV-041,Nissan LEAF 40 kWh,koniec_ladowania,Sesja zakończona. Dostarczono 25.56 kWh.
11:30,46,EV-029,BMW i4 eDrive40,koniec_ladowania,Sesja zakończona. Dostarczono 42.96 kWh.
11:30,46,EV-040,Hyundai IONIQ 5 77.4 kWh,przyjazd,Pojazd przyjechał na stację.
